SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
M4174,3,174,0.0666215223749172,0.4955,1000,0.0349250842868588,0.0381823106225978,0.999991219874902,-0.217172746952258
M6255,4,255,0.0667108664000979,0.469,1000,0.0349250842868588,0.0381801700294101,0.999991219874902,-0.211812686127416
M51,1,51,0.0670689075521922,0.483,1000,0.0349250842868588,0.0381716223965273,0.999991219874902,-0.216925857856666
M1471,1,1471,0.0671097639419917,0.481,1000,0.0349250842868588,0.0381706501241617,0.999991219874902,0.213928149686978
M9338,5,1338,0.0671359673726326,0.4845,1000,0.0349250842868588,0.0381700268862766,0.999991219874902,-0.218269205649904
M7267,4,1267,0.067387540727647,0.4975,1000,0.0349250842868588,0.0381640565334779,0.999991219874902,0.212561148378654
M7893,4,1893,0.0676622242355512,0.492,1000,0.0349250842868588,0.038157564917631,0.999991219874902,-0.218785585574096
M3495,2,1495,0.0677147973125091,0.495,1000,0.0349250842868588,0.0381563256714516,0.999991219874902,0.215583410182035
M3266,2,1266,0.067884676907405,0.4975,1000,0.0349250842868588,0.038152328321942,0.999991219874902,-0.212131112257964
M6400,4,400,0.0680888168603596,0.4855,1000,0.0349250842868588,0.0381475389563242,0.999991219874902,-0.216798068021205
M6870,4,870,0.0681263636830961,0.4835,1000,0.0349250842868588,0.038146659737793,0.999991219874902,-0.21346769252375
M4973,3,973,0.0684423545468862,0.486,1000,0.0349250842868588,0.0381392808101328,0.999991219874902,-0.215633103050379
M7178,4,1178,0.0685139438633059,0.48,1000,0.0349250842868588,0.0381376141474242,0.999991219874902,0.214778929934425
M3469,2,1469,0.0685576140868922,0.48,1000,0.0349250842868588,0.0381365983818209,0.999991219874902,0.211378561223739
M5034,3,1034,0.0688073419076889,0.489,1000,0.0349250842868588,0.0381308030189105,0.999991219874902,0.21084902343091
M5733,3,1733,0.0688632914809973,0.495,1000,0.0349250842868588,0.0381295077032052,0.999991219874902,0.209159562969035
M3079,2,1079,0.0694966149608897,0.4795,1000,0.0349250842868588,0.0381149234784973,0.999991219874902,0.209527830398599
M335,1,335,0.06991876910158,0.497,1000,0.0349250842868588,0.0381052809924571,0.999991219874902,0.212328261664027
M5834,3,1834,0.0699229286644325,0.5,1000,0.0349250842868588,0.0381051862940939,0.999991219874902,0.214339173890721
M6423,4,423,0.0699774395749147,0.4845,1000,0.0349250842868588,0.0381039458337415,0.999991219874902,0.207614639561541
M6452,4,452,0.0702309552603837,0.485,1000,0.0349250842868588,0.0380981903677199,0.999991219874902,-0.216931845647593
M9339,5,1339,0.0702885496637602,0.4995,1000,0.0349250842868588,0.0380968859307664,0.999991219874902,-0.214435368476188
M6830,4,830,0.0706212210697414,0.487,1000,0.0349250842868588,0.0380893737299731,0.999991219874902,0.212218879802663
M5709,3,1709,0.0708402526873683,0.4645,1000,0.0349250842868588,0.038084448375823,0.999991219874902,0.21534005840283
M1032,1,1032,0.0710158250544605,0.4955,1000,0.0349250842868588,0.0380805120713983,0.999991219874902,-0.210126552183112
M9302,5,1302,0.0711293811520147,0.4975,1000,0.0349250842868588,0.0380779717190155,0.999991219874902,0.209796530491076
M838,1,838,0.071459939358118,0.4775,1000,0.0349250842868588,0.0380706015361385,0.999991219874902,-0.21008605680754
M2875,2,875,0.0714693127400135,0.495,1000,0.0349250842868588,0.0380703930794448,0.999991219874902,-0.210025812223932
M4078,3,78,0.0714722593209769,0.4965,1000,0.0349250842868588,0.0380703275558441,0.999991219874902,-0.211513088487948
M4460,3,460,0.0715490559507968,0.489,1000,0.0349250842868588,0.03806862083864,0.999991219874902,0.21755358504447
M9756,5,1756,0.071649510641765,0.488,1000,0.0349250842868588,0.0380663913141372,0.999991219874902,0.211712479358653
M8782,5,782,0.0717958920694316,0.492,1000,0.0349250842868588,0.0380631484769729,0.999991219874902,0.212572389698607
M7149,4,1149,0.0719111471836493,0.489,1000,0.0349250842868588,0.0380606001823173,0.999991219874902,0.208145641228896
M7004,4,1004,0.071944476433864,0.4985,1000,0.0349250842868588,0.0380598640887539,0.999991219874902,0.211442574822399
M3650,2,1650,0.0720082757001814,0.482,1000,0.0349250842868588,0.0380584560699885,0.999991219874902,0.215842983923324
M7084,4,1084,0.0721308019209105,0.473,1000,0.0349250842868588,0.0380557557286111,0.999991219874902,-0.209021395467687
M3967,2,1967,0.0722371740243344,0.491,1000,0.0349250842868588,0.0380534153973493,0.999991219874902,0.212385470979257
M1357,1,1357,0.0722500734405165,0.498,1000,0.0349250842868588,0.038053131844252,0.999991219874902,-0.208788671791297
M559,1,559,0.0724116261727446,0.495,1000,0.0349250842868588,0.0380495852129348,0.999991219874902,-0.212374922316371
M7719,4,1719,0.0724160915217513,0.4875,1000,0.0349250842868588,0.0380494873040815,0.999991219874902,-0.208093096524465
M8263,5,263,0.0727778897872228,0.4965,1000,0.0349250842868588,0.0380415758596392,0.999991219874902,0.21358339658741
M1948,1,1948,0.0728443858313983,0.478,1000,0.0349250842868588,0.0380401263871237,0.999991219874902,-0.207505556440594
M6702,4,702,0.0729170803002451,0.4975,1000,0.0349250842868588,0.038038543427691,0.999991219874902,0.212775278400727
M9496,5,1496,0.0729404228482411,0.4965,1000,0.0349250842868588,0.0380380354913183,0.999991219874902,-0.212561086357312
M2004,2,4,0.0730158560518985,0.4985,1000,0.0349250842868588,0.0380363952499728,0.999991219874902,0.211254890895816
M9176,5,1176,0.0730337108695746,0.494,1000,0.0349250842868588,0.0380360072761471,0.999991219874902,0.208697668642685
M6184,4,184,0.0730980840794232,0.4735,1000,0.0349250842868588,0.0380346093328727,0.999991219874902,0.208407959427177
M3033,2,1033,0.0731943473007311,0.4915,1000,0.0349250842868588,0.0380325213251087,0.999991219874902,0.206835216314971
M7167,4,1167,0.0733620244782983,0.485,1000,0.0349250842868588,0.0380288913423952,0.999991219874902,-0.211975162881458
M223,1,223,0.0738289211254809,0.499,1000,0.0349250842868588,0.0380188304604332,0.999991219874902,-0.211239033744448
M7441,4,1441,0.0740614038643759,0.49,1000,0.0349250842868588,0.0380138463031121,0.999991219874902,-0.209337595227225
M1637,1,1637,0.0741147456138174,0.498,1000,0.0349250842868588,0.0380127050910947,0.999991219874902,0.212206394276961
M2562,2,562,0.0742067073103888,0.4815,1000,0.0349250842868588,0.0380107397026581,0.999991219874902,-0.209979829886777
M2844,2,844,0.0743655791153271,0.491,1000,0.0349250842868588,0.0380073504865486,0.999991219874902,0.211671095121972
M8661,5,661,0.0745612705861785,0.4955,1000,0.0349250842868588,0.038003186482504,0.999991219874902,-0.212124197196943
M5209,3,1209,0.0746372783574301,0.473,1000,0.0349250842868588,0.0380015723260779,0.999991219874902,-0.210605623512095
M9121,5,1121,0.0748931260144606,0.4905,1000,0.0349250842868588,0.037996151922938,0.999991219874902,-0.20524008635374
M6367,4,367,0.0750574730183211,0.489,1000,0.0349250842868588,0.0379926805552534,0.999991219874902,0.207066808204161
M1477,1,1477,0.0751684434117184,0.4975,1000,0.0349250842868588,0.0379903412401555,0.999991219874902,-0.202854927449039
M4122,3,122,0.0751972344122399,0.4955,1000,0.0349250842868588,0.0379897349175777,0.999991219874902,0.208307406541962
M5390,3,1390,0.0752973692930897,0.4925,1000,0.0349250842868588,0.0379876280757869,0.999991219874902,-0.208287631095118
M2364,2,364,0.0753479050234135,0.4995,1000,0.0349250842868588,0.0379865659464862,0.999991219874902,0.204136000962933
M4044,3,44,0.0753869492971987,0.4735,1000,0.0349250842868588,0.037985745862441,0.999991219874902,-0.207332966210515
M8192,5,192,0.0755235150314264,0.4915,1000,0.0349250842868588,0.0379828810335038,0.999991219874902,-0.209682951347247
M4330,3,330,0.0756546289684578,0.4875,1000,0.0349250842868588,0.0379801358115105,0.999991219874902,-0.209291615838765
M8544,5,544,0.0759317515682884,0.4955,1000,0.0349250842868588,0.0379743503186195,0.999991219874902,-0.20831031705336
M219,1,219,0.076041263570119,0.484,1000,0.0349250842868588,0.0379720702980346,0.999991219874902,-0.212119389029226
M910,1,910,0.0762286504438695,0.4775,1000,0.0349250842868588,0.0379681771240888,0.999991219874902,-0.204225196892764
M1779,1,1779,0.0762624571645633,0.4845,1000,0.0349250842868588,0.0379674758485617,0.999991219874902,0.206752414013579
M733,1,733,0.0764785772322547,0.4925,1000,0.0349250842868588,0.0379630006200319,0.999991219874902,-0.205351729999904
M4927,3,927,0.0766067690354215,0.4885,1000,0.0349250842868588,0.037960352564529,0.999991219874902,-0.206960621235055
M8084,5,84,0.0766768261829686,0.4965,1000,0.0349250842868588,0.0379589074113905,0.999991219874902,-0.209190127824797
M5617,3,1617,0.0766905055576511,0.4905,1000,0.0349250842868588,0.0379586253964093,0.999991219874902,-0.205554098411653
M572,1,572,0.077161419230111,0.495,1000,0.0349250842868588,0.0379489499068576,0.999991219874902,-0.203639580734261
M9796,5,1796,0.077232299106317,0.4985,1000,0.0349250842868588,0.0379474991039711,0.999991219874902,-0.205004939426317
M9938,5,1938,0.0774516095174202,0.472,1000,0.0349250842868588,0.0379430192247442,0.999991219874902,0.204381381257235
M9474,5,1474,0.0777345220882411,0.4965,1000,0.0349250842868588,0.0379372602856785,0.999991219874902,0.208897960975548
M365,1,365,0.0779022552017818,0.4895,1000,0.0349250842868588,0.0379338565844218,0.999991219874902,-0.207573333451364
M5659,3,1659,0.0781838122205531,0.4805,1000,0.0349250842868588,0.0379281608486038,0.999991219874902,-0.206715494281923
M9450,5,1450,0.0786194846595065,0.4985,1000,0.0349250842868588,0.0379193908881479,0.999991219874902,0.206934035739948
M685,1,685,0.0787882820069762,0.484,1000,0.0349250842868588,0.0379160071231398,0.999991219874902,-0.205237237265408
M8828,5,828,0.0788908535683279,0.4985,1000,0.0349250842868588,0.0379139547580983,0.999991219874902,0.207164404138439
M7024,4,1024,0.0789348045545013,0.4935,1000,0.0349250842868588,0.0379130762189425,0.999991219874902,0.21206041257534
M3683,2,1683,0.0789739864229339,0.487,1000,0.0349250842868588,0.0379122934547386,0.999991219874902,0.206942955192119
M6075,4,75,0.0789810193896237,0.488,1000,0.0349250842868588,0.037912152996482,0.999991219874902,-0.209859076823363
M7863,4,1863,0.07904499745746,0.4965,1000,0.0349250842868588,0.0379108758835409,0.999991219874902,-0.208128030008197
M2972,2,972,0.0790806270715873,0.4895,1000,0.0349250842868588,0.0379101651380943,0.999991219874902,-0.204383906803741
M1486,1,1486,0.0791749270831101,0.4755,1000,0.0349250842868588,0.0379082856916372,0.999991219874902,-0.20460232308659
M2010,2,10,0.0791854947029611,0.493,1000,0.0349250842868588,0.0379080752241679,0.999991219874902,0.205505287261133
M786,1,786,0.0791905547282255,0.4825,1000,0.0349250842868588,0.0379079744581133,0.999991219874902,-0.209333516494723
M4139,3,139,0.0792787024807927,0.4875,1000,0.0349250842868588,0.0379062201850601,0.999991219874902,-0.209847756250156
M1583,1,1583,0.0795358605959474,0.4935,1000,0.0349250842868588,0.0379011143516049,0.999991219874902,0.204557718054048
M6664,4,664,0.0795824056837007,0.4925,1000,0.0349250842868588,0.0379001921102937,0.999991219874902,-0.203982359260635
M1545,1,1545,0.0796824973203561,0.4985,1000,0.0349250842868588,0.0378982108713055,0.999991219874902,-0.201244837228046
M9706,5,1706,0.0797564602867374,0.48,1000,0.0349250842868588,0.0378967485545808,0.999991219874902,0.204072572144639
M2539,2,539,0.0800037073978634,0.4925,1000,0.0349250842868588,0.0378918708515142,0.999991219874902,0.203308308484338
M6566,4,566,0.0801194270580123,0.4915,1000,0.0349250842868588,0.0378895935151788,0.999991219874902,-0.204008676952981
M2170,2,170,0.0801643683632609,0.494,1000,0.0349250842868588,0.0378887100376882,0.999991219874902,-0.206184082579
M9500,5,1500,0.0801905761613242,0.4945,1000,0.0349250842868588,0.0378881950791394,0.999991219874902,0.202500255369102
M8286,5,286,0.0802410189060281,0.487,1000,0.0349250842868588,0.0378872044379034,0.999991219874902,-0.206573168434488
M9590,5,1590,0.0803289774543245,0.4915,1000,0.0349250842868588,0.0378854786338626,0.999991219874902,-0.204752291819602
M6256,4,256,0.0804054891126374,0.499,1000,0.0349250842868588,0.0378839790836577,0.999991219874902,-0.209646118714318
M7536,4,1536,0.0807303082574652,0.496,1000,0.0349250842868588,0.0378776300701421,0.999991219874902,0.202342750405649
M9703,5,1703,0.0807649878651335,0.498,1000,0.0349250842868588,0.0378769538423286,0.999991219874902,-0.206931070157168
M6579,4,579,0.0807901173471233,0.492,1000,0.0349250842868588,0.0378764640311195,0.999991219874902,0.205992194857799
M8418,5,418,0.0808576534834363,0.492,1000,0.0349250842868588,0.0378751484656261,0.999991219874902,0.204852750176428
M6720,4,720,0.08088363838165,0.4965,1000,0.0349250842868588,0.0378746426107099,0.999991219874902,-0.201118579253318
M712,1,712,0.0809246656095157,0.4875,1000,0.0349250842868588,0.0378738442799988,0.999991219874902,0.203836206448216
M419,1,419,0.0809397434875483,0.4955,1000,0.0349250842868588,0.0378735509960667,0.999991219874902,0.207214832004126
M1305,1,1305,0.0810361901264115,0.4985,1000,0.0349250842868588,0.0378716763809432,0.999991219874902,-0.202109349141665
M1283,1,1283,0.0811091966948795,0.484,1000,0.0349250842868588,0.0378702589678589,0.999991219874902,-0.199506728616313
M314,1,314,0.0813289580232306,0.488,1000,0.0349250842868588,0.0378660006337033,0.999991219874902,0.200667802244084
M2593,2,593,0.0816909500817263,0.491,1000,0.0349250842868588,0.0378590133138168,0.999991219874902,0.203371977746997
M5336,3,1336,0.0821513209590289,0.4925,1000,0.0349250842868588,0.0378501752240433,0.999991219874902,-0.201602624417148
M1202,1,1202,0.0824124878231822,0.4955,1000,0.0349250842868588,0.0378451851723152,0.999991219874902,0.199387685297495
M403,1,403,0.0825571682976683,0.4955,1000,0.0349250842868588,0.0378424281509272,0.999991219874902,-0.20456851921233
M4096,3,96,0.0827612330796061,0.4865,1000,0.0349250842868588,0.037838548373881,0.999991219874902,-0.200404007293344
M1377,1,1377,0.082805320806881,0.4975,1000,0.0349250842868588,0.0378377115158288,0.999991219874902,-0.202489196208887
M3679,2,1679,0.0829933316559843,0.4985,1000,0.0349250842868588,0.0378341481593543,0.999991219874902,0.198760545612174
M5876,3,1876,0.0830610185649474,0.4835,1000,0.0349250842868588,0.037832867430901,0.999991219874902,-0.199325063731465
M9691,5,1691,0.0833647491359271,0.499,1000,0.0349250842868588,0.0378271342996894,0.999991219874902,0.196618459334729
M9671,5,1671,0.0835108590437012,0.4985,1000,0.0349250842868588,0.0378243844149176,0.999991219874902,-0.204890035105052
M8462,5,462,0.0835761886223343,0.498,1000,0.0349250842868588,0.0378231565526942,0.999991219874902,-0.200541746908812
M773,1,773,0.0835948346765321,0.4915,1000,0.0349250842868588,0.0378228062926427,0.999991219874902,-0.205589709284197
M1839,1,1839,0.0838204620464711,0.4965,1000,0.0349250842868588,0.0378185746439591,0.999991219874902,0.198243175353298
M4245,3,245,0.0839151798598899,0.491,1000,0.0349250842868588,0.0378168018801379,0.999991219874902,-0.203101366064118
M3468,2,1468,0.0839242378101776,0.497,1000,0.0349250842868588,0.0378166324625795,0.999991219874902,0.203792909609547
M6080,4,80,0.0840100161423878,0.4935,1000,0.0349250842868588,0.0378150290671724,0.999991219874902,0.202161532693481
M8974,5,974,0.0841625210608562,0.4885,1000,0.0349250842868588,0.0378121827680652,0.999991219874902,0.200712362870831
M6048,4,48,0.0842340858734143,0.491,1000,0.0349250842868588,0.0378108490309197,0.999991219874902,-0.203171594311584
M7919,4,1919,0.0844612790657089,0.4915,1000,0.0349250842868588,0.0378066229966937,0.999991219874902,0.200764787174819
M9140,5,1140,0.0849919674954069,0.499,1000,0.0349250842868588,0.0377967993892877,0.999991219874902,-0.202793409723938
M2634,2,634,0.0854412192541237,0.498,1000,0.0349250842868588,0.037788535038219,0.999991219874902,-0.202552260877212
M8004,5,4,0.0855813293982025,0.4855,1000,0.0349250842868588,0.0377859672240327,0.999991219874902,-0.200793302404406
M9361,5,1361,0.0856242162286792,0.498,1000,0.0349250842868588,0.0377851821426066,0.999991219874902,-0.199162518342462
M6981,4,981,0.0857664771106492,0.5,1000,0.0349250842868588,0.0377825809783044,0.999991219874902,0.20177265339214
M1796,1,1796,0.0857899469847365,0.491,1000,0.0349250842868588,0.0377821522934396,0.999991219874902,-0.202618118025555
M4965,3,965,0.0857907262152472,0.499,1000,0.0349250842868588,0.0377821380627198,0.999991219874902,-0.201350077082623
M4316,3,316,0.0857912882146729,0.4955,1000,0.0349250842868588,0.0377821277992751,0.999991219874902,-0.198909076376424
M844,1,844,0.0858296603223279,0.4915,1000,0.0349250842868588,0.0377814272057827,0.999991219874902,0.203934860248637
M4877,3,877,0.0858749586113391,0.494,1000,0.0349250842868588,0.0377806005915439,0.999991219874902,0.201320789758711
M7143,4,1143,0.0859630605731555,0.486,1000,0.0349250842868588,0.0377789942376722,0.999991219874902,0.20243825834865
M9488,5,1488,0.0860481599113163,0.4945,1000,0.0349250842868588,0.0377774443232822,0.999991219874902,-0.1978717479019
M7891,4,1891,0.086181591521497,0.4945,1000,0.0349250842868588,0.0377750174742615,0.999991219874902,-0.198533194463948
M4479,3,479,0.086191183563511,0.484,1000,0.0349250842868588,0.0377748431714838,0.999991219874902,0.202317236399665
M3319,2,1319,0.0862123531954803,0.498,1000,0.0349250842868588,0.0377744585597277,0.999991219874902,0.196893395115467
M1196,1,1196,0.0862369509407223,0.499,1000,0.0349250842868588,0.0377740117942416,0.999991219874902,-0.200168330994984
M3677,2,1677,0.0864348918585803,0.485,1000,0.0349250842868588,0.0377704216404814,0.999991219874902,-0.202059992166937
M6175,4,175,0.0865166816956885,0.486,1000,0.0349250842868588,0.0377689407783547,0.999991219874902,-0.200037582285177
M5365,3,1365,0.0866932016819999,0.4925,1000,0.0349250842868588,0.0377657499262972,0.999991219874902,0.198080481622526
M7715,4,1715,0.0866964013735288,0.4925,1000,0.0349250842868588,0.0377656921522967,0.999991219874902,-0.202345986623868
M6438,4,438,0.0867554045594462,0.487,1000,0.0349250842868588,0.0377646271980689,0.999991219874902,-0.201753640904542
M9953,5,1953,0.086759873858829,0.4785,1000,0.0349250842868588,0.0377645465632476,0.999991219874902,-0.201150692402223
M5401,3,1401,0.0869680173817975,0.4905,1000,0.0349250842868588,0.0377607962314984,0.999991219874902,-0.19735823918063
M5350,3,1350,0.0869946482067742,0.489,1000,0.0349250842868588,0.0377603170994509,0.999991219874902,0.199375689912188
M6902,4,902,0.0870170094951872,0.4855,1000,0.0349250842868588,0.0377599149061683,0.999991219874902,0.197307431033948
M3774,2,1774,0.0870226922088941,0.49,1000,0.0349250842868588,0.0377598127139395,0.999991219874902,0.201094394627148
M3320,2,1320,0.0871140403678034,0.497,1000,0.0349250842868588,0.0377581709925973,0.999991219874902,-0.203069499775268
M377,1,377,0.0875080733507764,0.496,1000,0.0349250842868588,0.037751110711792,0.999991219874902,0.197965670972224
M3823,2,1823,0.0875599288088506,0.498,1000,0.0349250842868588,0.0377501841342751,0.999991219874902,0.201180566677692
M3845,2,1845,0.0876400812701708,0.4865,1000,0.0349250842868588,0.0377487531032225,0.999991219874902,0.200366673536166
M3856,2,1856,0.0876684996108362,0.4965,1000,0.0349250842868588,0.0377482460669711,0.999991219874902,-0.195246430249938
M4588,3,588,0.0879271021127686,0.4955,1000,0.0349250842868588,0.0377436402933974,0.999991219874902,0.199326693113505
M9874,5,1874,0.0879295550368785,0.484,1000,0.0349250842868588,0.0377435966766139,0.999991219874902,-0.203414539315986
M4860,3,860,0.088175904138035,0.4965,1000,0.0349250842868588,0.037739222920692,0.999991219874902,0.199941573343381
M4277,3,277,0.0882810795447784,0.47,1000,0.0349250842868588,0.0377373596425267,0.999991219874902,0.197665996431851
M2608,2,608,0.0883238537186038,0.4805,1000,0.0349250842868588,0.0377366025480909,0.999991219874902,-0.201721817206419
M1412,1,1412,0.088353804842813,0.4935,1000,0.0349250842868588,0.0377360726559384,0.999991219874902,-0.1963208661046
M2044,2,44,0.0883550936194218,0.492,1000,0.0349250842868588,0.0377360498594125,0.999991219874902,-0.200278578461507
M9486,5,1486,0.0884653733917277,0.4815,1000,0.0349250842868588,0.0377341005111843,0.999991219874902,-0.201311724107256
M1316,1,1316,0.0885159139106128,0.4825,1000,0.0349250842868588,0.0377332080184787,0.999991219874902,-0.201324546334035
M1667,1,1667,0.08855791540183,0.492,1000,0.0349250842868588,0.0377324667368236,0.999991219874902,-0.198560808428169
M611,1,611,0.0885634648517125,0.4905,1000,0.0349250842868588,0.0377323688234761,0.999991219874902,-0.198803834068201
M4179,3,179,0.0886129145987763,0.5,1000,0.0349250842868588,0.0377314966363387,0.999991219874902,0.198342622892937
M9716,5,1716,0.0886532168341986,0.494,1000,0.0349250842868588,0.037730786182311,0.999991219874902,0.192747445092493
M5897,3,1897,0.0886700924733952,0.498,1000,0.0349250842868588,0.0377304888000706,0.999991219874902,0.193654456509762
M7401,4,1401,0.0887107215877569,0.4835,1000,0.0349250842868588,0.0377297730864395,0.999991219874902,-0.199612131099741
M3389,2,1389,0.0888199605743623,0.489,1000,0.0349250842868588,0.037727850519501,0.999991219874902,0.198765038359056
M623,1,623,0.0889176988146779,0.495,1000,0.0349250842868588,0.0377261325362758,0.999991219874902,0.200781030888379
M7531,4,1531,0.0890558781685893,0.493,1000,0.0349250842868588,0.0377237071990391,0.999991219874902,0.197618923713151
M3935,2,1935,0.0895365287132527,0.4905,1000,0.0349250842868588,0.0377153024934248,0.999991219874902,-0.199070209073057
M2457,2,457,0.0896705644375898,0.4895,1000,0.0349250842868588,0.0377129674667952,0.999991219874902,0.200960336544426
M6514,4,514,0.0897480403859041,0.4865,1000,0.0349250842868588,0.0377116194924292,0.999991219874902,-0.198124961187716
M8344,5,344,0.0898294086054677,0.478,1000,0.0349250842868588,0.0377102051582306,0.999991219874902,-0.1993131783629
M2203,2,203,0.0898371603817865,0.4785,1000,0.0349250842868588,0.0377100704902554,0.999991219874902,-0.202277899060505
M646,1,646,0.0899819460639148,0.4865,1000,0.0349250842868588,0.0377075575138677,0.999991219874902,0.200570290127928
M6431,4,431,0.0900347148824279,0.4735,1000,0.0349250842868588,0.0377066427227103,0.999991219874902,-0.197328179410988
M5707,3,1707,0.0900705348071935,0.487,1000,0.0349250842868588,0.0377060220865348,0.999991219874902,-0.195903727132929
M6941,4,941,0.0901636978551237,0.492,1000,0.0349250842868588,0.0377044091461609,0.999991219874902,0.200415969690823
M8071,5,71,0.0903841453922112,0.4915,1000,0.0349250842868588,0.037700599719551,0.999991219874902,0.194861501805633
M830,1,830,0.0904101373787822,0.499,1000,0.0349250842868588,0.0377001512326011,0.999991219874902,0.199619619426016
M7731,4,1731,0.0907475256279112,0.4895,1000,0.0349250842868588,0.0376943423437449,0.999991219874902,-0.193835954780639
M6847,4,847,0.0909224126934632,0.494,1000,0.0349250842868588,0.0376913405053626,0.999991219874902,-0.194529290170806
M295,1,295,0.0910338365556455,0.4885,1000,0.0349250842868588,0.0376894312491713,0.999991219874902,-0.202629811928659
M3454,2,1454,0.091116814240355,0.4865,1000,0.0349250842868588,0.0376880110702362,0.999991219874902,0.195481718192582
M4368,3,368,0.0911228119715589,0.491,1000,0.0349250842868588,0.037687908472421,0.999991219874902,-0.201045279708921
M7336,4,1336,0.0912314235588535,0.493,1000,0.0349250842868588,0.037686051820716,0.999991219874902,-0.197291784162189
M4207,3,207,0.091344193750812,0.499,1000,0.0349250842868588,0.037684126621733,0.999991219874902,0.195643046706323
M3779,2,1779,0.0914431991647661,0.4885,1000,0.0349250842868588,0.0376824385428924,0.999991219874902,-0.199334286940768
M5892,3,1892,0.0914434845144485,0.449,1000,0.0349250842868588,0.0376824336804517,0.999991219874902,-0.202637775455401
M1058,1,1058,0.0915686762747222,0.4925,1000,0.0349250842868588,0.0376803019656006,0.999991219874902,-0.19508419981554
M2518,2,518,0.0916675517329402,0.4925,1000,0.0349250842868588,0.0376786205933561,0.999991219874902,0.196155736023343
M656,1,656,0.0921985432317184,0.487,1000,0.0349250842868588,0.0376696247256886,0.999991219874902,-0.201488011556592
M9191,5,1191,0.0923582329388964,0.4995,1000,0.0349250842868588,0.0376669303416154,0.999991219874902,-0.193894754684834
M2465,2,465,0.0923703008205038,0.498,1000,0.0349250842868588,0.0376667269308747,0.999991219874902,-0.195936390167844
M8268,5,268,0.0924356409499209,0.4905,1000,0.0349250842868588,0.0376656260892319,0.999991219874902,-0.196885751302943
M5303,3,1303,0.0924585368432548,0.4765,1000,0.0349250842868588,0.0376652405426721,0.999991219874902,0.20110640232042
M8786,5,786,0.0925472103229268,0.479,1000,0.0349250842868588,0.037663748339689,0.999991219874902,-0.194584011184304
M1683,1,1683,0.0925602065863368,0.482,1000,0.0349250842868588,0.0376635297684841,0.999991219874902,-0.199414115002583
M6425,4,425,0.0925733771868055,0.488,1000,0.0349250842868588,0.0376633082993498,0.999991219874902,0.195187635806292
M9001,5,1001,0.0926049116879071,0.4825,1000,0.0349250842868588,0.0376627781729091,0.999991219874902,-0.196114409637573
M601,1,601,0.0927419259765937,0.499,1000,0.0349250842868588,0.037660477105199,0.999991219874902,-0.197048515620281
M6967,4,967,0.092786476072475,0.489,1000,0.0349250842868588,0.0376597297118058,0.999991219874902,0.199467849261396
M585,1,585,0.0927913598786498,0.4985,1000,0.0349250842868588,0.0376596478025298,0.999991219874902,0.196379383801514
M6939,4,939,0.0928539779124278,0.4945,1000,0.0349250842868588,0.0376585980131415,0.999991219874902,0.191815045475835
M1670,1,1670,0.092980851075791,0.4985,1000,0.0349250842868588,0.0376564733491371,0.999991219874902,-0.198514992540026
M1352,1,1352,0.0931157913090507,0.4855,1000,0.0349250842868588,0.0376542170518743,0.999991219874902,0.196439482385301
M8356,5,356,0.0931925311912956,0.494,1000,0.0349250842868588,0.037652935493497,0.999991219874902,0.195064042834701
M1550,1,1550,0.0933168223358976,0.4985,1000,0.0349250842868588,0.0376508622632777,0.999991219874902,0.193263320924927
M1763,1,1763,0.0933857218857811,0.4945,1000,0.0349250842868588,0.0376497142838957,0.999991219874902,0.19270403100586
M4314,3,314,0.0935565946516769,0.4955,1000,0.0349250842868588,0.0376468712392178,0.999991219874902,-0.198833039058911
M4068,3,68,0.093674887083682,0.4945,1000,0.0349250842868588,0.0376449063562876,0.999991219874902,0.198361409015945
M5718,3,1718,0.0936935327422341,0.4865,1000,0.0349250842868588,0.0376445968912738,0.999991219874902,-0.198184573117942
M1066,1,1066,0.0942120057159732,0.4905,1000,0.0349250842868588,0.0376360184773538,0.999991219874902,0.196467801779306
M3116,2,1116,0.0942935770982755,0.4835,1000,0.0349250842868588,0.0376346735185611,0.999991219874902,0.19338922928398
M2685,2,685,0.0942994536520349,0.4995,1000,0.0349250842868588,0.037634576674193,0.999991219874902,0.195395874388964
M5866,3,1866,0.0943437619638868,0.4965,1000,0.0349250842868588,0.037633846694195,0.999991219874902,0.194684890651502
M2078,2,78,0.0944367658719818,0.4915,1000,0.0349250842868588,0.0376323156679099,0.999991219874902,0.198572094710755
M6701,4,701,0.0945027057968975,0.496,1000,0.0349250842868588,0.0376312311628397,0.999991219874902,0.195348756669659
M2876,2,876,0.094537538751108,0.481,1000,0.0349250842868588,0.0376306586027489,0.999991219874902,-0.201015926714206
M4901,3,901,0.0945514004596734,0.473,1000,0.0349250842868588,0.037630430817486,0.999991219874902,-0.200349814153469
M8270,5,270,0.0948465621533403,0.4865,1000,0.0349250842868588,0.0376255891345874,0.999991219874902,0.194900384231687
M2915,2,915,0.0948592341868136,0.499,1000,0.0349250842868588,0.0376253816367759,0.999991219874902,-0.193115332019261
M5457,3,1457,0.0948958024258835,0.484,1000,0.0349250842868588,0.0376247830206593,0.999991219874902,-0.19410419869115
M5216,3,1216,0.0949231583171837,0.4935,1000,0.0349250842868588,0.0376243353735599,0.999991219874902,0.194820154086642
